Dates,03-08-2026,Place,Driving Ranges

Club,Index,Ball Speed(mph),Launch Direction,Launch Angle,Spin Rate,Spin Axis,Back Spin,Side Spin,Apex(yd),Carry(yd),Total(yd),Offline(yd),Landing Angle,Club Path,Face Angle,Attack Angle, Dynamic Loft
Driver,0,138.2,R8.5,14.9,1543,L34.8,1267,L880,21.4,217.0,242.5,L3.3,28.3,R9.6,R8.3,2.6,17.3
Driver,1,143.1,R6.1,12.8,1472,L50.2,943,L1130,14.8,195.3,232.7,L11.4,21.1,R9.5,R5.4,5.2,14.5
,Average,140.7,R7.3,13.8,1508,L42.5,1105,L1005,18.1,206.1,237.6,L7.3,24.7,R9.6,R6.9,3.9,15.9
,Deviation,1.1,1.2,1.1,36,7.7,162,125.0,3.0,9.9,4.5,4.0,3.6,0.1,1.4,1.3,1.4
3 Wood,0,139.4,R7.7,8.4,3940,L18.6,3735,L1256,19.9,204.5,219.5,L2.3,32.4,R15.2,R5.9,1.7,11.2
3 Wood,1,132.7,R13.1,13.0,3074,L30.1,2660,L1539,22.8,198.2,213.0,R2.7,34.5,R14.7,R12.7,2.0,17.2
,Average,136.1,R10.4,10.7,3507,L24.3,3198,L1398,21.4,201.3,216.2,R0.2,33.4,R14.9,R9.3,1.8,14.2
,Deviation,1.5,2.7,2.3,433,5.7,538,141.5,1.3,2.9,3.0,2.5,1.0,0.2,3.4,0.2,3.0
2 Hybrid,0,135.5,R9.9,8.4,3192,L29.2,2785,L1559,14.6,189.2,212.3,L3.0,26.0,R15.7,R8.4,2.5,11.0
2 Hybrid,1,138.3,R9.2,7.1,3137,L26.7,2802,L1410,13.1,192.0,217.5,L2.0,24.0,R12.0,R8.5,2.2,9.4
2 Hybrid,2,136.4,R10.9,13.7,3234,L14.3,3134,L797,30.0,214.8,225.6,R14.4,39.7,R13.2,R10.3,2.4,18.1
2 Hybrid,3,134.8,R5.1,10.2,3389,R3.5,3383,R207,22.8,206.7,220.7,R22.1,34.6,R13.4,R3.8,2.3,13.5
2 Hybrid,4,128.8,R13.8,15.7,2630,L18.6,2492,L839,28.2,203.5,216.2,R19.5,38.4,R14.8,R13.6,2.4,20.6
,Average,134.8,R9.8,11.0,3116,L17.1,2919,L880,21.7,201.2,218.5,R10.2,32.5,R13.8,R8.9,2.3,14.5
,Deviation,1.4,2.8,3.2,257,11.6,308,621.6,6.3,8.7,4.1,10.7,6.4,1.3,3.2,0.1,4.2
4 Iron,0,130.5,R4.1,14.6,3593,L20.8,3360,L1274,28.3,198.8,209.2,L17.5,39.6,R12.8,R1.9,-0.3,19.9
4 Iron,1,131.4,R7.1,16.9,3517,L26.6,3143,L1577,32.0,200.6,209.4,L17.0,42.1,R14.6,R5.2,1.0,22.6
4 Iron,2,131.2,R8.6,17.4,4151,L15.0,4009,L1075,36.4,200.8,206.6,R2.5,45.4,R13.7,R7.4,2.0,23.1
4 Iron,3,127.6,R5.5,17.2,3486,L31.9,2960,L1840,29.1,190.8,200.6,L25.5,40.6,R16.0,R2.9,2.0,22.7
4 Iron,4,123.6,R9.5,17.2,3859,L13.1,3759,L872,31.2,188.2,195.9,R9.7,42.7,R15.1,R8.1,1.2,22.9
4 Iron,5,119.9,R13.1,20.7,3304,R3.0,3300,R173,35.7,186.4,193.2,R42.7,45.3,R12.2,R13.3,2.3,27.2
4 Iron,6,130.6,R7.4,16.1,4474,L20.0,4203,L1533,32.8,195.8,202.3,L8.7,43.8,R13.9,R5.8,0.6,21.7
,Average,127.8,R7.9,17.2,3769,L17.8,3533,L1143,32.2,194.5,202.4,L2.0,42.8,R14.0,R6.4,1.3,22.9
,Deviation,1.8,2.7,1.7,386,10.4,429,615.7,2.6,5.1,5.4,21.4,2.0,1.2,3.5,0.9,2.0
5 Iron,0,128.5,R3.9,17.8,4450,L39.4,3437,L2827,29.4,183.4,191.4,L40.5,42.0,R14.4,R1.3,1.7,23.6
5 Iron,1,126.5,R9.0,18.7,1979,L32.6,1668,L1065,28.3,199.9,213.4,L7.4,37.9,R16.6,R7.1,1.2,24.9
5 Iron,2,121.6,R5.4,15.5,3924,L22.1,3635,L1479,25.5,179.4,189.6,L12.8,38.9,R14.9,R3.0,2.1,20.4
5 Iron,3,126.6,R6.1,19.4,4090,L32.8,3436,L2218,33.3,186.5,193.3,L27.8,44.3,R14.6,R3.9,1.9,25.7
5 Iron,4,120.8,R4.2,16.4,3989,L48.1,2662,L2970,20.2,161.4,175.3,L33.8,34.5,R18.0,R0.4,0.7,21.9
5 Iron,5,116.2,R4.8,15.5,4746,L45.6,3321,L3389,18.3,151.8,164.9,L29.0,33.8,R19.9,R0.7,0.2,20.8
5 Iron,6,120.1,R5.0,11.8,4291,L45.4,3012,L3056,13.4,149.9,170.0,L24.3,26.9,R18.4,R1.7,1.7,15.6
5 Iron,7,116.9,R12.3,20.7,3266,L18.3,3101,L1024,32.4,178.1,186.0,R11.9,43.7,L0.0,L0.0,0.0,0.0
5 Iron,8,120.2,R10.1,12.4,4220,L4.2,4208,L308,21.5,176.1,187.7,R23.0,35.8,R12.0,R9.6,1.0,16.6
5 Iron,9,122.2,R5.9,13.9,4113,L19.5,3877,L1376,23.6,178.9,189.8,L7.9,37.3,R15.2,R3.6,0.6,18.7
5 Iron,10,118.1,R9.4,20.2,3918,L19.9,3685,L1332,32.6,176.6,183.2,R0.2,44.5,R17.8,R6.5,2.1,26.6
5 Iron,11,123.2,R2.4,10.5,3774,L28.2,3327,L1781,15.8,169.5,187.5,L22.5,29.1,R14.0,L0.4,1.2,14.1
5 Iron,12,122.1,R3.1,16.5,3865,L21.9,3585,L1444,27.6,181.9,191.1,L19.6,40.4,R13.0,R0.7,1.4,21.9
5 Iron,13,122.8,R7.5,20.6,4385,L22.2,4060,L1656,36.3,182.4,187.3,L10.8,46.8,R16.6,R5.2,2.4,27.1
5 Iron,14,126.8,R6.9,17.8,4151,L23.1,3818,L1628,33.0,190.3,197.0,L13.5,44.0,R16.5,R4.4,2.0,23.5
,Average,122.2,R6.4,16.5,3944,L28.2,3389,L1837,26.1,176.4,187.2,L14.3,38.7,R14.8,R3.2,1.3,20.1
,Deviation,1.6,2.7,3.2,619,11.9,603,845.7,6.2,11.9,10.1,16.4,5.7,4.5,2.9,0.7,6.6
6 Iron,0,114.8,R5.3,21.2,4453,L32.2,3769,L2370,30.4,164.3,170.6,L23.9,44.4,R15.8,R2.7,0.8,28.2
6 Iron,1,120.8,R5.7,20.3,4390,L30.8,3769,L2249,32.6,176.0,181.9,L24.6,45.0,R16.1,R3.1,2.0,26.8
6 Iron,2,115.9,R6.2,14.9,3968,L11.8,3884,L810,23.1,170.1,180.9,R2.9,37.4,R11.7,R4.8,1.1,19.8
6 Iron,3,120.4,R2.8,20.5,5153,L21.3,4802,L1868,35.7,174.6,178.3,L23.1,47.7,R12.6,R0.3,1.5,27.1
6 Iron,4,116.7,R8.0,22.0,5473,L15.7,5268,L1483,37.1,165.8,168.3,L1.1,50.4,R14.7,R6.3,2.0,28.9
6 Iron,5,123.7,R7.7,22.9,4508,L14.8,4359,L1149,42.6,182.7,185.7,L0.9,50.9,R12.3,R6.6,2.1,30.2
6 Iron,6,118.0,R12.8,23.4,6770,L0.4,6769,L47,41.3,160.5,161.4,R31.9,52.7,R12.3,R11.7,0.9,31.1
6 Iron,7,120.3,R8.4,19.0,4787,L16.7,4585,L1375,33.4,177.4,182.4,L0.2,45.7,R13.4,R7.1,0.6,25.5
,Average,118.8,R7.1,20.5,4938,L18.0,4651,L1419,34.5,171.4,176.2,L4.9,46.8,R13.6,R5.3,1.4,27.2
,Deviation,1.2,2.7,2.5,820,9.6,944,718.3,5.3,6.5,7.2,17.8,4.5,1.6,3.2,0.6,3.3
8 Iron,0,114.4,L3.2,20.8,5598,L37.8,4421,L3434,29.0,156.6,161.7,L50.5,45.0,R18.4,L8.7,-1.4,28.3
8 Iron,1,109.2,R2.2,21.6,6116,L31.8,5196,L3226,28.7,147.8,151.7,L29.9,45.7,R17.0,L1.6,0.7,28.6
8 Iron,2,113.6,R5.7,25.0,5661,L14.7,5476,L1434,40.0,157.6,159.3,L5.9,52.6,R14.9,R3.4,0.8,33.1
8 Iron,3,105.9,R4.4,24.4,5212,L39.1,4046,L3286,29.0,143.6,148.5,L28.2,46.2,R17.6,R1.1,2.0,31.9
8 Iron,4,113.8,R5.5,23.8,6127,L9.5,6043,L1011,38.9,157.1,158.6,R0.5,52.0,R15.1,R3.1,-0.5,31.9
8 Iron,5,108.1,R6.6,20.8,5999,L21.8,5569,L2229,28.8,148.4,151.8,L9.1,46.4,R17.6,R3.9,1.7,27.4
8 Iron,6,110.0,R7.4,23.4,6148,L14.2,5960,L1507,35.0,150.9,152.9,L0.3,50.5,R14.3,R5.6,1.0,30.9
,Average,110.7,R4.1,22.8,5837,L24.1,5244,L2304,32.8,151.7,154.9,L17.6,48.4,R16.4,R1.0,0.6,30.3
,Deviation,1.4,3.4,1.6,330,11.2,700,938.2,4.3,4.6,4.1,17.7,3.0,1.5,4.5,1.1,2.0
9 Iron,0,99.7,R4.3,22.6,8475,L20.5,7937,L2970,26.5,128.2,129.4,L11.8,47.0,R14.1,R1.9,-0.3,30.1
9 Iron,1,101.4,R4.8,26.6,7347,L25.6,6629,L3169,31.5,129.7,131.1,L16.4,50.6,R15.7,R2.1,1.7,34.8
9 Iron,2,94.1,R10.6,29.5,5783,L7.4,5734,L748,32.0,122.5,124.2,R13.8,51.7,R15.4,R9.3,2.1,38.4
9 Iron,3,102.9,R3.3,23.1,7909,L25.7,7129,L3425,28.0,132.0,133.8,L19.4,47.7,R15.7,R0.2,0.2,30.7
9 Iron,4,97.3,R12.1,24.8,7442,L7.2,7384,L926,28.4,126.2,127.7,R17.2,48.5,R15.5,R11.2,0.0,32.8
9 Iron,5,107.1,R9.6,27.5,7221,L11.5,7076,L1438,38.4,139.1,139.8,R6.8,53.1,R15.6,R8.0,-0.4,36.6
9 Iron,6,105.9,R5.0,25.2,7785,L24.2,7104,L3185,32.7,136.1,137.2,L16.6,50.6,R17.1,R2.0,-0.7,33.6
9 Iron,7,97.4,R10.8,27.7,7373,L23.0,6787,L2881,30.7,123.7,124.9,L0.8,50.6,R21.4,R8.2,2.0,36.1
9 Iron,8,95.8,R9.1,26.6,6943,L20.5,6503,L2433,28.6,122.8,124.5,L1.0,49.3,R18.7,R6.7,2.1,34.7
9 Iron,9,92.5,R10.8,28.9,7013,L7.1,6959,L867,30.2,117.7,118.7,R13.8,51.0,R16.2,R9.4,2.0,37.7
9 Iron,10,106.2,R5.4,28.0,5968,L19.2,5635,L1964,38.2,141.7,143.2,L10.5,53.2,R15.1,R3.0,1.2,36.8
9 Iron,11,106.5,R4.0,28.2,7322,L15.4,7060,L1941,38.6,136.7,137.5,L10.1,53.4,R13.7,R1.5,2.0,37.0
9 Iron,12,108.0,R2.9,27.1,6808,L26.9,6070,L3082,36.7,140.5,141.8,L25.1,52.6,R15.1,L0.1,0.6,35.9
9 Iron,13,106.9,R5.0,24.0,7672,L11.2,7527,L1486,33.4,140.0,141.1,L2.4,50.3,R14.4,R2.7,-0.3,32.0
,Average,101.6,R7.0,26.4,7219,L17.5,6824,L2180,32.4,131.2,132.5,L4.5,50.7,R16.0,R4.7,0.9,34.8
,Deviation,2.3,3.2,2.1,686,7.1,636,926.4,3.6,7.0,6.9,13.0,1.9,1.9,3.7,1.1,2.5
P-Wedge,0,95.8,L2.4,26.5,8923,L21.9,8279,L3328,29.1,120.6,121.2,L25.7,49.8,R9.5,L5.4,-1.3,35.5
P-Wedge,1,94.8,R5.3,29.4,8271,L12.7,8069,L1818,32.4,118.8,119.2,L2.5,52.0,R13.5,R3.2,-0.2,38.9
P-Wedge,2,93.4,R7.8,32.7,8721,L9.2,8610,L1388,35.5,113.3,113.3,R4.9,54.3,R13.2,R6.4,2.2,42.5
P-Wedge,3,97.1,R4.2,28.3,10638,L11.2,10436,L2063,33.6,119.5,119.3,L4.3,52.6,R11.4,R2.3,0.6,37.3
P-Wedge,4,92.4,R7.9,32.2,8009,L9.1,7909,L1260,34.0,113.7,113.9,R5.7,53.5,R13.3,R6.6,2.3,41.8
P-Wedge,5,97.2,R6.5,32.2,7509,L9.7,7401,L1270,37.1,120.4,120.8,R2.3,54.3,R11.2,R5.3,2.1,42.0
P-Wedge,6,97.4,R1.8,25.4,8204,L18.4,7786,L2585,28.8,124.5,125.6,L14.5,49.1,R11.1,L0.5,-0.1,33.6
P-Wedge,7,96.1,R2.6,28.9,8409,L21.6,7820,L3092,31.9,120.3,120.8,L16.3,51.7,R12.9,R0.0,2.0,37.6
P-Wedge,8,91.7,R6.1,31.9,8441,L15.5,8136,L2248,32.9,112.2,112.4,L3.6,53.2,R14.8,R3.9,2.2,41.4
P-Wedge,9,96.5,R10.8,32.6,7683,L8.4,7601,L1118,37.3,118.9,119.2,R11.7,54.5,R15.3,R9.6,2.0,42.5
,Average,95.2,R5.0,30.0,8481,L13.7,8205,L2017,33.2,118.2,118.6,L4.2,52.5,R12.6,R3.1,1.2,39.3
,Deviation,0.9,3.5,2.6,827,5.0,812,750.1,2.5,3.4,3.6,10.9,1.8,1.7,4.1,1.2,3.0
G-Wedge,0,92.2,R7.9,32.4,9196,L9.6,9068,L1530,34.4,111.5,111.4,R4.7,54.0,R13.6,R6.5,0.3,42.6
G-Wedge,1,91.5,R7.8,30.9,9573,L11.4,9385,L1884,32.3,111.5,111.3,R2.9,52.9,R13.4,R5.8,0.1,40.6
G-Wedge,2,91.1,R5.8,32.6,9034,L27.3,8029,L4141,32.2,109.0,109.2,L14.1,53.6,R15.3,R3.4,0.5,42.8
G-Wedge,3,86.7,R8.9,34.8,7621,L4.3,7600,L568,32.6,104.0,104.3,R11.2,54.1,R12.4,R8.0,2.1,45.1
G-Wedge,4,91.3,R4.4,31.1,9002,L13.1,8769,L2036,32.2,111.6,111.7,L4.5,52.8,R12.6,R2.3,0.7,40.8
,Average,90.6,R6.9,32.3,8885,L13.1,8570,L2032,32.7,109.5,109.6,R0.1,53.5,R13.5,R5.2,0.7,42.4
