Dates,03-12-2026,Place,Driving Ranges

Club,Index,Ball Speed(mph),Launch Direction,Launch Angle,Spin Rate,Spin Axis,Back Spin,Side Spin,Apex(yd),Carry(yd),Total(yd),Offline(yd),Landing Angle,Club Path,Face Angle,Attack Angle, Dynamic Loft
6 Iron,2,126.4,R6.0,17.8,4531,L13.3,4409,L1043,35.0,190.2,195.6,L2.8,45.5,R12.1,R4.5,-1.6,24.5
6 Iron,3,120.3,R6.1,20.4,4480,L16.3,4301,L1254,35.4,178.9,183.7,L6.0,46.6,R13.2,R3.9,0.8,27.2
6 Iron,4,90.6,R8.9,20.6,3478,L17.9,3309,L1068,17.8,121.1,133.0,R5.9,36.0,R17.1,R6.3,2.0,26.7
6 Iron,5,122.5,R4.4,17.3,4704,L2.5,4700,L202,32.7,183.6,189.0,R9.1,44.7,R10.6,R2.8,-0.9,23.6
6 Iron,6,107.6,R9.9,22.9,3770,L2.5,3766,L163,31.8,159.2,165.3,R22.1,45.4,R16.0,R8.3,2.0,30.0
6 Iron,7,110.7,R8.4,22.1,4641,L9.6,4576,L773,33.2,161.1,165.4,R9.5,47.2,R14.7,R6.8,1.1,29.2
6 Iron,8,117.3,R6.4,20.6,4695,L16.5,4501,L1335,34.1,172.4,177.2,L5.1,46.4,R12.6,R4.9,0.9,27.3
,Average,113.2,R6.4,20.1,4325,L13.1,4188,L968,30.7,165.8,172.1,R0.6,44.1,R13.5,R4.5,0.5,26.7
,Deviation,4.9,2.3,1.7,405,6.4,416,467.4,5.2,19.4,17.7,11.8,3.4,2.4,2.4,1.2,2.0
7 Iron,0,107.9,R0.5,19.5,4605,L33.6,3836,L2546,23.7,149.4,157.8,L31.2,40.2,R13.1,L2.7,-0.3,26.1
7 Iron,1,112.9,R0.2,20.5,6089,L20.5,5703,L2136,31.7,156.2,159.2,L25.6,47.8,R10.2,L2.4,0.0,27.5
7 Iron,2,106.7,R5.0,19.2,6024,L4.1,6008,L426,27.2,148.1,151.7,R7.2,45.3,R9.0,R4.0,0.8,25.5
7 Iron,3,112.7,R7.4,23.0,5246,L10.9,5151,L996,36.4,160.3,162.8,R4.2,50.4,R11.8,R5.6,1.0,30.5
7 Iron,4,109.4,R3.5,21.3,5187,L27.9,4586,L2424,29.0,153.2,158.4,L22.7,45.0,R13.8,R0.9,1.4,28.1
7 Iron,5,106.3,R10.5,22.2,7331,R7.3,7272,R928,30.8,141.4,142.8,R32.0,48.7,R10.7,R10.8,2.0,29.0
7 Iron,6,99.1,R10.2,24.5,4951,R3.5,4942,R299,29.4,137.5,140.8,R25.5,48.2,R13.8,R10.0,1.9,32.1
7 Iron,7,120.3,R4.5,20.2,4795,L11.9,4693,L985,36.1,178.1,182.3,L4.7,47.3,R10.0,R2.8,-0.4,27.3
7 Iron,8,101.4,R9.4,22.5,3804,L8.1,3767,L533,27.1,146.5,153.6,R14.1,43.1,R14.9,R8.1,1.7,29.4
7 Iron,9,104.4,R6.5,21.1,5065,L19.1,4785,L1661,26.9,146.9,152.2,L4.9,43.9,R15.4,R3.8,0.5,28.0
7 Iron,10,114.2,R5.0,21.2,5305,L8.2,5251,L759,34.7,163.9,166.8,R2.0,49.0,R13.2,R3.0,0.3,28.2
7 Iron,11,108.7,R5.6,21.8,5222,L16.1,5018,L1444,31.2,153.8,157.5,L5.3,47.4,R13.3,R3.7,1.2,28.7
7 Iron,12,106.0,R7.1,21.9,4209,L14.0,4084,L1015,29.0,153.8,159.9,R2.1,44.2,R14.4,R5.2,1.2,28.8
7 Iron,13,94.1,R9.8,24.3,4136,R2.2,4133,R157,25.4,131.0,137.0,R22.2,44.2,R11.9,R10.1,1.7,31.7
7 Iron,14,115.7,R9.7,22.4,5236,R7.4,5192,R672,37.8,165.9,168.3,R35.9,50.7,R8.0,R10.2,-0.5,30.1
,Average,108.0,R6.3,21.7,5147,L10.3,4961,L858,30.4,152.4,156.8,R3.4,46.4,R12.2,R4.9,0.8,28.7
,Deviation,2.9,3.2,1.5,842,11.8,878,1038.7,3.8,10.4,10.1,19.6,2.8,2.1,4.2,0.8,1.8
8 Iron,0,88.8,R6.4,23.2,3289,L3.5,3283,L200,20.3,121.3,131.1,R10.2,39.2,R16.3,R4.0,0.6,30.5
8 Iron,1,100.5,L4.7,-0.2,3732,L72.1,1146,L3551,0.0,0.7,121.7,L0.1,0.0,R18.2,L10.4,-0.2,0.2
8 Iron,2,103.0,R5.4,21.1,6405,R2.3,6400,R256,27.4,139.4,142.1,R14.4,46.5,R5.5,R5.9,-3.0,28.9
8 Iron,3,96.1,R8.2,22.6,6007,R2.8,6000,R290,25.0,128.3,131.4,R19.1,45.6,R9.6,R8.5,-2.2,30.6
8 Iron,4,98.1,R8.6,23.2,5432,R2.9,5425,R274,27.1,134.2,137.7,R21.0,46.7,R8.7,R8.7,-0.9,31.0
8 Iron,5,108.6,R6.8,22.2,4642,R0.9,4641,R72,32.3,157.3,161.6,R18.0,47.3,L0.0,L0.0,0.0,0.0
8 Iron,6,101.2,R8.7,24.5,5070,R6.0,5042,R532,30.8,140.6,143.9,R25.7,48.7,R7.0,R9.2,-1.5,32.9
8 Iron,7,93.6,R3.8,21.6,5324,L17.2,5085,L1578,21.5,124.8,130.5,L6.1,41.8,R13.4,R1.4,-0.7,28.8
8 Iron,8,111.8,R5.1,23.0,5172,L13.3,5034,L1186,35.6,158.7,161.6,L4.2,50.0,L0.0,L0.0,0.0,0.0
8 Iron,9,110.1,R6.2,24.2,5787,L3.6,5775,L365,37.0,152.9,154.8,R10.4,51.4,R8.9,R5.5,-1.2,32.6
8 Iron,10,97.3,R11.0,26.7,5305,R4.0,5292,R373,31.0,131.6,134.2,R26.7,50.0,R11.7,R11.5,2.0,34.8
8 Iron,11,98.4,R9.6,25.8,5075,R0.3,5075,R24,30.7,135.0,138.0,R20.8,49.3,R10.7,R10.1,1.2,33.8
8 Iron,12,106.8,R5.5,22.6,4988,L10.7,4901,L930,31.6,151.6,155.3,R0.9,47.9,R11.7,R4.0,-1.4,30.5
8 Iron,13,84.8,R8.8,24.6,4091,L6.2,4067,L440,20.2,112.4,119.4,R11.9,41.6,R18.0,R6.5,2.3,31.9
8 Iron,14,82.8,R10.7,26.8,4974,R7.3,4934,R632,21.6,106.0,110.0,R22.4,45.4,R13.8,R10.7,2.2,34.7
8 Iron,15,106.8,L1.4,15.6,5322,L18.6,5044,L1697,20.5,147.2,155.6,L21.9,37.7,R11.5,L4.7,-0.4,21.1
8 Iron,16,108.1,R7.2,25.2,5428,L2.1,5425,L194,37.0,150.5,152.5,R14.6,51.6,R9.5,R6.6,0.0,33.5
,Average,99.8,R6.2,21.9,5061,L7.1,4857,L452,26.4,129.0,140.1,R10.8,43.6,R10.3,R4.6,-0.2,25.6
,Deviation,3.8,3.9,6.1,757,17.9,1150,1035.6,8.0,32.3,13.6,12.7,11.6,5.1,5.7,1.5,12.2
9 Iron,0,100.7,R0.6,25.2,6358,L19.0,6011,L2073,30.2,133.0,135.2,L17.9,49.3,R9.5,L1.6,0.0,33.4
9 Iron,1,90.0,R7.5,28.2,5850,L14.3,5668,L1447,27.3,115.9,118.1,R2.4,49.3,R14.4,R5.2,2.2,36.6
