Dates,03-25-2026,Place,Driving Ranges

Club,Index,Ball Speed(mph),Launch Direction,Launch Angle,Spin Rate,Spin Axis,Back Spin,Side Spin,Apex(yd),Carry(yd),Total(yd),Offline(yd),Landing Angle,Club Path,Face Angle,Attack Angle, Dynamic Loft
8 Iron,0,74.0,R6.0,22.8,4983,R13.6,4843,R1172,13.1,86.8,94.3,R13.5,36.5,L0.0,L0.0,0.0,0.0
8 Iron,1,68.1,R2.4,19.8,4363,R13.9,4234,R1049,8.5,72.4,85.0,R6.2,28.5,R2.6,R3.0,-2.6,26.7
8 Iron,2,75.6,L0.5,19.6,4523,R11.9,4426,R931,11.1,88.1,100.1,R3.7,31.1,R0.9,L0.1,-4.3,27.0
8 Iron,3,85.8,L0.8,19.2,4829,R2.4,4825,R199,15.2,110.0,119.5,L0.1,35.0,0.0,0.0,0.0,0.0
8 Iron,4,76.7,R6.2,22.5,4942,R18.6,4685,R1573,13.8,91.5,99.4,R16.8,36.6,R1.4,R7.4,-4.3,30.7
8 Iron,5,84.4,R0.6,20.3,5150,R9.2,5084,R823,15.7,106.8,115.2,R6.2,36.2,L0.0,L0.0,0.0,0.0
8 Iron,6,75.1,R0.7,21.1,4132,R15.8,3976,R1123,11.9,88.9,100.9,R6.8,32.5,R0.9,R1.0,-1.9,28.3
8 Iron,7,80.3,R0.1,22.1,5112,R15.5,4927,R1365,15.3,98.8,106.0,R7.9,37.8,L4.6,R1.3,-4.0,30.2
8 Iron,8,81.9,R2.3,20.9,4698,R7.4,4659,R607,15.0,103.4,112.5,R7.6,35.8,L0.3,R2.9,-3.1,28.4
,Average,78.0,R1.9,20.9,4748,R12.0,4629,R982,13.3,94.1,103.7,R7.6,34.4,R0.1,R1.7,-2.2,19.0
,Deviation,2.4,2.5,1.3,329,4.7,335,385.6,2.1,10.2,9.4,4.7,2.9,1.9,2.3,1.7,13.5
9 Iron,0,73.0,R0.2,27.0,5077,R4.9,5058,R432,16.2,87.2,91.8,R2.3,42.1,L2.9,R0.9,-1.1,35.6
9 Iron,1,73.2,R0.3,23.1,5845,R7.1,5801,R723,13.2,85.2,90.8,R3.3,37.4,L0.0,L0.0,0.0,0.0
9 Iron,2,67.0,R0.9,23.6,5956,R19.6,5611,R1998,10.8,72.7,79.0,R6.7,35.3,L5.1,R2.4,-5.5,32.3
9 Iron,3,72.8,R1.3,23.5,6639,R8.9,6559,R1024,13.6,84.4,88.7,R5.4,38.1,L0.3,R1.7,-4.5,32.1
9 Iron,4,75.6,L0.4,24.0,3951,R8.3,3909,R573,14.8,93.1,102.0,R2.9,37.3,L0.9,L0.3,-4.5,32.7
,Average,72.3,R0.4,24.3,5494,R9.8,5388,R950,13.7,84.5,90.5,R4.1,38.0,L1.9,R0.9,-3.1,26.5
,Deviation,1.3,0.6,1.4,917,5.1,882,559.6,1.6,6.1,6.7,1.7,2.2,1.9,1.0,2.1,13.3
P-Wedge,0,60.4,R1.9,25.9,6295,R11.5,6168,R1256,10.0,62.1,66.9,R4.6,36.3,L0.2,R2.4,-3.8,34.8
P-Wedge,1,64.5,R0.2,24.9,6097,R5.6,6067,R599,11.0,69.6,74.6,R1.8,36.6,L1.5,R0.6,-4.7,33.7
P-Wedge,2,64.9,L1.7,20.4,6925,R13.1,6744,R1572,8.3,66.5,73.7,R1.5,30.6,L0.0,L0.0,0.0,0.0
P-Wedge,3,65.3,R0.0,24.4,6655,R6.7,6609,R781,11.1,70.8,75.4,R2.0,36.3,L2.0,R0.5,-5.2,33.2
P-Wedge,4,64.7,R0.9,26.4,6540,R9.9,6443,R1123,12.1,70.6,74.5,R4.1,38.7,L1.2,R1.5,-3.8,35.5
P-Wedge,5,64.7,R1.4,28.1,5387,R5.9,5359,R556,13.1,71.3,75.9,R3.4,40.3,L1.9,R2.3,-2.9,37.3
P-Wedge,6,61.2,R1.3,25.2,6922,R10.3,6810,R1240,10.0,63.7,67.9,R3.9,36.1,0.0,0.0,0.0,0.0
P-Wedge,7,67.6,L0.1,25.3,6635,R6.5,6592,R755,12.7,75.6,79.7,R2.1,38.4,L2.6,R0.5,-4.0,34.2
P-Wedge,8,67.9,R2.3,27.6,6707,R9.8,6610,R1141,14.4,76.8,79.9,R6.4,41.4,L2.6,R3.5,-3.4,36.9
,Average,64.6,R0.7,25.3,6463,R8.8,6378,R1003,11.4,69.7,74.3,R3.3,37.2,L1.3,R1.3,-3.1,27.3
,Deviation,1.0,1.2,2.1,457,2.5,429,325.1,1.6,4.2,3.9,1.5,2.9,1.0,1.2,1.8,14.6
G-Wedge,0,71.6,L3.2,10.9,4990,R7.3,4950,R630,3.8,61.6,84.3,L1.8,16.3,L3.2,L3.0,-6.2,16.2
G-Wedge,1,62.0,L3.1,25.3,7502,R8.6,7418,R1122,10.4,65.1,68.8,L0.9,36.5,L4.9,L2.7,-6.1,34.6
G-Wedge,2,57.5,R0.7,26.6,6967,R14.5,6744,R1748,9.4,57.4,61.3,R3.7,36.4,L3.8,R1.9,-4.2,35.8
G-Wedge,3,57.7,R0.7,28.9,5839,R7.9,5784,R799,10.5,58.6,62.6,R2.3,39.0,L0.1,R0.9,-2.7,38.2
G-Wedge,4,61.2,L0.4,25.6,7269,R7.4,7209,R931,10.3,63.9,67.6,R1.5,36.6,L1.5,L0.2,-4.9,34.7
G-Wedge,5,60.4,L0.5,25.6,7804,R11.9,7635,R1614,10.0,62.3,65.8,R2.5,36.2,L4.0,R0.4,-5.6,34.8
G-Wedge,6,61.9,L3.9,20.4,6531,R7.5,6476,R847,7.4,61.0,68.8,L2.2,29.4,L4.2,L3.8,-6.1,28.2
G-Wedge,7,61.3,L0.1,28.1,7055,R9.0,6968,R1106,11.8,65.1,67.9,R2.4,39.7,L4.7,R1.0,-5.1,37.9
,Average,61.7,L1.2,23.9,6745,R9.3,6648,R1100,9.2,61.9,68.4,R0.9,33.8,L3.3,L0.7,-5.1,32.5
