Dates,03-17-2026,Place,Driving Ranges

Club,Index,Ball Speed(mph),Launch Direction,Launch Angle,Spin Rate,Spin Axis,Back Spin,Side Spin,Apex(yd),Carry(yd),Total(yd),Offline(yd),Landing Angle,Club Path,Face Angle,Attack Angle, Dynamic Loft
6 Iron,3,106.8,R2.9,14.8,4235,L6.5,4209,L476,19.3,151.0,162.6,R0.6,35.2,R11.5,R0.7,1.6,19.5
6 Iron,4,112.6,R2.1,17.0,4816,L14.3,4668,L1186,25.8,162.8,170.1,L11.6,41.1,R10.9,L0.1,1.5,22.4
6 Iron,5,114.8,R8.0,23.6,5550,R0.5,5550,R49,39.7,162.0,163.9,R21.3,51.9,R8.6,R8.6,1.8,31.1
6 Iron,6,111.7,R5.7,12.3,3904,R4.5,3892,R307,17.2,157.8,172.0,R18.8,32.0,R7.1,R6.1,0.4,16.5
6 Iron,7,111.1,R5.9,13.6,3620,R8.2,3584,R515,18.5,158.6,172.5,R23.0,33.2,R8.2,R6.1,0.6,18.2
6 Iron,8,111.8,R2.3,12.7,3965,L15.7,3818,L1070,17.2,156.1,170.5,L9.6,31.9,R13.5,L0.5,1.5,16.8
6 Iron,9,111.1,R5.7,23.1,4599,L3.3,4592,L263,35.3,161.2,164.7,R10.3,49.1,R8.5,R4.9,1.4,30.5
6 Iron,10,116.1,R3.1,22.5,4999,L3.2,4992,L280,38.2,167.7,170.4,R3.7,50.6,R6.6,R2.2,-0.1,30.2
6 Iron,11,109.5,R1.3,10.8,4033,R5.2,4017,R365,14.0,148.9,165.7,R7.8,28.6,R3.8,R1.5,0.2,14.6
6 Iron,12,78.2,R3.6,4.9,1853,R47.0,-1264,R1355,0.7,31.8,79.1,R3.2,5.5,R11.1,R2.4,2.1,6.3
6 Iron,13,112.3,R7.1,24.3,4276,R5.1,4258,R382,37.6,164.0,167.5,R25.0,49.8,R7.0,R7.3,1.6,32.0
,Average,109.1,R3.4,16.7,4221,L2.3,3906,L328,24.2,148.9,160.8,R2.3,37.7,R8.2,R2.6,0.9,20.3
,Deviation,4.1,2.8,5.7,885,17.4,1566,886.2,10.3,30.5,21.1,17.2,12.3,3.3,3.5,0.8,9.3
7 Iron,0,108.8,R5.6,24.3,4595,L6.4,4567,L511,35.4,156.2,159.5,R6.0,49.8,R11.5,R4.1,2.0,31.8
7 Iron,1,117.7,R5.5,24.3,4590,L13.7,4459,L1087,41.0,170.6,173.5,L4.7,51.4,R12.2,R3.8,1.2,32.1
7 Iron,2,115.0,R6.3,24.1,4822,R8.6,4767,R723,39.5,165.2,167.9,R28.5,51.4,R6.2,R6.6,-0.9,32.4
7 Iron,3,109.3,R6.3,24.7,4183,L0.9,4183,L66,36.2,159.2,162.9,R14.7,49.4,R10.2,R5.3,0.6,32.7
7 Iron,4,109.9,R5.1,10.6,3517,L1.0,3516,L60,13.4,149.5,168.6,R11.2,27.3,R13.0,R3.1,1.3,14.1
7 Iron,5,106.3,R13.1,27.4,4897,R9.8,4826,R832,38.3,147.6,149.8,R41.7,52.6,R10.4,R13.7,2.3,35.8
7 Iron,6,111.8,R9.1,24.1,5437,R3.7,5425,R355,38.1,157.3,159.4,R27.7,51.6,R7.5,R9.5,1.3,31.8
7 Iron,7,112.0,R9.5,26.6,5157,L4.4,5142,L395,42.0,156.5,158.3,R17.6,53.4,R11.2,R8.2,1.6,35.0
7 Iron,8,116.7,R6.6,23.3,5886,R1.7,5883,R174,40.5,163.3,164.9,R19.7,52.2,R6.9,R7.1,-0.6,31.3
7 Iron,9,116.9,R7.5,25.7,5471,R9.2,5401,R874,44.2,163.0,164.5,R32.9,53.8,R6.6,R7.8,0.5,34.2
7 Iron,10,103.1,R4.5,21.5,5330,R4.0,5317,R372,28.0,144.4,148.1,R14.7,46.2,R10.8,R3.7,-0.9,28.8
7 Iron,11,106.1,R6.3,19.3,5770,R2.1,5766,R214,26.9,148.1,152.2,R17.2,44.7,R7.5,R6.7,0.0,25.8
7 Iron,12,108.9,R5.8,23.3,4970,L2.2,4966,L191,34.4,155.3,158.3,R11.6,49.6,R10.8,R4.6,-0.2,31.0
7 Iron,13,115.0,R9.8,25.4,4722,R5.6,4700,R457,41.8,164.7,167.0,R33.3,52.6,R8.6,R10.1,1.4,33.5
7 Iron,14,115.6,R6.0,23.0,4570,L2.4,4566,L192,38.1,169.2,172.5,R12.9,49.9,R9.8,R5.1,-1.1,31.0
7 Iron,15,112.1,R7.8,21.4,5701,R6.9,5659,R689,34.1,158.4,160.9,R28.6,49.3,R7.3,R7.9,-0.1,28.7
7 Iron,16,117.9,R6.8,23.4,4597,L5.6,4575,L445,40.5,172.4,175.3,R10.6,51.0,R10.8,R5.8,0.5,31.2
