Dates,03-25-2026,Place,Driving Ranges

Club,Index,Ball Speed(mph),Launch Direction,Launch Angle,Spin Rate,Spin Axis,Back Spin,Side Spin,Apex(yd),Carry(yd),Total(yd),Offline(yd),Landing Angle,Club Path,Face Angle,Attack Angle, Dynamic Loft
P-Wedge,0,78.4,R4.5,29.7,7165,R3.7,7150,R466,22.1,95.1,96.6,R9.0,47.5,R6.3,R4.8,-1.8,39.4
P-Wedge,1,80.3,R2.4,28.3,7106,R2.3,7100,R281,21.9,98.7,100.4,R5.2,46.8,R2.4,R2.6,-3.5,38.0
P-Wedge,2,77.6,R4.2,29.9,5729,R8.9,5659,R890,21.3,94.5,97.2,R11.1,47.0,R3.9,R4.2,-1.9,39.7
P-Wedge,3,72.6,L0.7,27.2,6642,R8.6,6568,R990,16.4,85.4,88.3,R2.9,42.7,L0.0,L0.0,0.0,0.0
P-Wedge,4,80.6,R0.9,26.1,7705,L6.3,7659,L844,20.2,99.0,100.8,L2.6,44.7,R6.8,L0.6,-2.7,35.0
P-Wedge,5,83.3,R1.5,28.7,6148,L5.8,6117,L618,23.8,104.1,106.3,L1.4,47.9,R6.3,R0.3,-1.3,38.1
,Average,78.8,R2.1,28.3,6749,R1.9,6709,R194,20.9,96.2,98.3,R4.0,46.1,R4.3,R1.9,-1.9,31.7
,Deviation,1.5,1.8,1.3,662,6.1,674,699.6,2.1,5.2,5.0,5.0,1.8,2.5,2.1,1.1,14.3
G-Wedge,0,81.8,L2.7,27.7,7418,L15.2,7160,L1939,22.0,100.7,102.3,L14.1,46.6,R5.3,L4.4,-3.2,37.2
G-Wedge,1,82.3,R1.4,18.2,5111,R4.9,5092,R440,12.8,100.5,110.9,R4.7,32.5,R3.6,R1.6,-4.4,25.3
G-Wedge,2,73.2,R7.2,31.1,8727,R9.1,8618,R1373,20.4,85.3,85.8,R14.5,47.8,R5.5,R7.6,-3.0,41.5
G-Wedge,3,73.8,R0.1,28.4,7468,L1.2,7466,L152,18.4,87.5,89.2,L0.5,44.8,L0.0,L0.0,0.0,0.0
G-Wedge,4,73.5,R6.1,33.1,7839,R6.2,7792,R848,22.1,85.5,86.3,R11.7,49.3,R4.4,R6.6,-1.2,43.6
G-Wedge,5,75.9,R4.0,31.3,7900,L0.0,7900,L1,22.2,90.1,91.0,R5.7,48.5,R4.9,R3.7,-1.9,41.5
,Average,76.7,R2.7,28.3,7411,R0.6,7338,R95,19.6,91.6,94.2,R3.7,44.9,R4.0,R2.5,-2.3,31.5
,Deviation,1.7,3.4,4.9,1114,7.9,1099,1043.0,3.1,6.0,8.5,9.3,5.7,1.9,4.1,1.4,15.3
S-Wedge,0,63.3,R7.2,36.0,8237,R7.8,8160,R1123,17.9,67.9,68.3,R10.6,49.1,L0.0,L0.0,0.0,0.0
S-Wedge,1,65.7,R4.0,32.5,8534,R0.9,8533,R132,17.1,72.8,73.4,R5.0,46.6,L0.0,L0.0,0.0,0.0
S-Wedge,2,72.6,R0.9,32.5,8608,R0.0,8608,R7,21.2,84.1,84.5,R1.2,48.9,R1.1,R1.2,-3.6,43.4
S-Wedge,3,73.8,R0.4,33.3,8393,L5.2,8359,L757,22.5,85.5,86.0,L2.4,49.7,R4.8,L0.7,-3.0,44.3
S-Wedge,4,69.4,R2.7,31.7,8986,R2.9,8975,R448,18.7,78.8,79.3,R4.7,47.1,R4.2,R3.0,-4.1,42.4
,Average,68.9,R3.0,33.2,8552,R1.3,8527,R191,19.5,77.8,78.3,R3.8,48.3,R2.0,R0.7,-2.1,26.0
,Deviation,1.8,2.5,1.5,252,4.2,272,611.7,1.9,6.1,6.1,4.3,1.2,2.1,1.3,1.8,21.2
L-Wedge,0,62.3,L0.2,31.2,9599,R2.3,9592,R382,14.6,66.8,67.4,R0.6,44.4,R1.3,R0.2,-3.9,41.6
L-Wedge,1,61.7,R1.5,32.9,9237,R1.5,9233,R249,15.2,65.8,66.1,R2.0,46.0,L0.0,L0.0,0.0,0.0
L-Wedge,2,63.9,R1.5,35.3,8827,R2.8,8817,R432,17.9,68.9,69.1,R2.7,48.8,R1.7,R2.0,-2.0,46.4
L-Wedge,3,62.5,R3.3,33.2,9297,R6.2,9243,R1007,15.8,66.9,67.3,R5.6,46.4,L0.0,L0.0,0.0,0.0
L-Wedge,4,64.8,R3.3,33.8,9452,R6.8,9385,R1124,17.6,70.5,70.7,R6.4,47.9,0.0,0.0,0.0,0.0
,Average,63.1,R1.9,33.3,9282,R3.9,9254,R639,16.2,67.8,68.1,R3.5,46.7,R0.6,R0.4,-1.2,17.6
,Deviation,0.5,1.3,1.3,260,2.2,254,355.4,1.2,1.5,1.5,2.2,1.5,0.7,0.8,1.5,21.6
