Dates,03-22-2026,Place,Driving Ranges

Club,Index,Ball Speed(mph),Launch Direction,Launch Angle,Spin Rate,Spin Axis,Back Spin,Side Spin,Apex(yd),Carry(yd),Total(yd),Offline(yd),Landing Angle,Club Path,Face Angle,Attack Angle, Dynamic Loft
4 Iron,0,97.9,L0.8,10.7,3058,L15.8,2942,L832,8.7,116.6,141.3,L9.5,21.4,R5.7,L2.5,-3.3,15.3
4 Iron,1,91.6,L2.4,7.5,2119,L9.2,2092,L337,3.5,82.7,121.1,L5.2,11.7,R8.6,L5.2,-1.4,10.6
4 Iron,2,104.5,R3.4,15.0,2917,R1.0,2916,R49,17.1,147.9,164.3,R8.7,31.8,R2.9,R3.5,-2.0,20.6
4 Iron,3,115.4,R2.1,17.1,3565,L5.2,3550,L322,26.5,173.6,183.4,L0.5,39.9,R6.0,R1.1,-0.9,23.2
4 Iron,4,112.2,R1.6,17.8,3621,L24.3,3302,L1488,24.1,162.9,173.6,L21.4,38.6,R11.2,L0.8,1.2,23.5
4 Iron,5,119.4,R1.9,15.9,4335,L9.5,4276,L713,27.4,177.6,185.7,L7.4,41.0,R6.5,R0.7,-0.1,21.5
4 Iron,6,103.3,R7.9,19.5,3145,R12.1,3075,R656,23.0,150.1,161.3,R29.7,38.5,R8.0,R8.5,1.2,25.7
4 Iron,7,119.6,R0.6,15.7,4035,L30.7,3469,L2060,23.3,170.9,182.2,L33.2,37.4,R11.1,L2.1,1.5,20.8
4 Iron,8,115.4,R4.8,15.5,3753,L12.3,3667,L796,23.7,170.5,181.4,L1.3,37.9,R14.0,R2.5,0.3,20.9
4 Iron,9,115.8,R6.7,18.8,3933,R0.8,3933,R56,30.4,174.3,181.5,R19.6,43.1,R8.1,R7.1,0.4,25.1
4 Iron,10,115.9,R6.8,17.8,3895,L9.5,3842,L639,28.3,173.4,181.7,R6.9,41.6,R10.6,R5.9,0.5,23.8
4 Iron,11,96.6,R10.5,18.7,2850,L0.5,2850,L26,18.5,135.2,149.0,R22.1,34.8,R13.5,R9.7,2.1,24.4
4 Iron,12,119.7,R4.2,16.4,3761,L12.8,3667,L834,27.5,180.3,189.6,L4.7,40.4,R10.0,R2.7,0.9,21.9
4 Iron,13,119.5,R3.5,16.9,3951,L30.3,3411,L1995,25.5,173.0,183.1,L26.0,39.3,R13.1,R1.1,1.8,22.4
4 Iron,14,118.0,R3.5,17.3,2974,L14.1,2884,L724,26.9,181.0,192.3,L6.8,39.2,R9.3,R2.1,0.5,23.1
4 Iron,15,118.5,R2.6,16.5,3833,L6.5,3808,L436,27.6,178.6,187.6,L1.3,40.7,L0.0,L0.0,0.0,0.0
4 Iron,16,117.7,R6.4,17.5,3136,L16.4,3009,L883,27.2,179.4,189.9,L1.4,39.8,R12.4,R4.9,0.8,23.4
4 Iron,17,121.3,R4.2,17.6,5902,L4.7,5881,L486,34.0,174.1,177.1,R4.6,47.8,R10.5,R2.7,1.1,23.5
4 Iron,18,119.5,R0.6,16.1,2904,L44.1,2086,L2021,19.6,166.0,182.9,L37.0,32.8,R16.3,L3.3,2.1,21.2
4 Iron,19,112.5,R2.6,17.3,3295,L34.9,2702,L1885,21.2,158.5,171.9,L25.5,35.6,R14.3,L0.3,1.9,22.7
4 Iron,20,115.2,R7.7,16.6,3932,R5.1,3917,R347,26.0,171.6,180.7,R27.2,40.0,R10.6,R7.8,0.8,22.1
4 Iron,21,111.9,R0.6,5.9,2344,L26.8,2093,L1056,4.2,113.3,156.8,L8.8,11.1,R10.6,L1.9,2.0,7.7
4 Iron,22,119.2,R4.4,19.0,3775,L0.1,3775,L9,32.6,182.0,188.9,R12.5,44.0,R10.1,R3.0,1.9,25.0
,Average,113.1,R3.6,16.0,3523,L12.5,3354,L715,22.9,160.6,174.2,L2.5,36.0,R9.7,R2.0,0.6,20.4
,Deviation,3.7,3.0,3.3,750,13.6,808,748.6,7.2,23.0,15.9,17.7,9.1,3.7,3.8,1.4,6.1
6 Iron,0,79.0,L0.8,13.0,2940,R3.9,2933,R198,6.2,80.9,105.1,R0.0,19.9,L0.7,L0.2,-4.5,18.5
6 Iron,1,75.8,R4.6,19.0,3519,R13.3,3426,R806,10.2,87.8,103.0,R10.8,28.9,R2.4,R5.1,-2.5,25.7
6 Iron,2,69.3,R3.7,17.4,1784,R1.5,1783,R47,6.5,68.7,92.0,R4.3,22.8,R2.9,R4.0,-0.3,23.0
6 Iron,3,76.9,R4.0,18.4,3918,R6.7,3892,R455,10.4,89.9,104.1,R8.2,29.0,R2.3,R4.5,-4.1,25.4
6 Iron,4,86.4,R0.0,17.0,3392,L5.8,3375,L341,12.4,108.3,124.2,L2.8,29.6,R2.7,L0.6,-3.8,23.6
