Dates,03-18-2026,Place,Driving Ranges

Club,Index,Ball Speed(mph),Launch Direction,Launch Angle,Spin Rate,Spin Axis,Back Spin,Side Spin,Apex(yd),Carry(yd),Total(yd),Offline(yd),Landing Angle,Club Path,Face Angle,Attack Angle, Dynamic Loft
S-Wedge,18,40.1,R1.8,26.8,5544,R7.8,5492,R756,4.2,29.0,33.9,R1.3,31.1,R1.8,R2.0,-5.9,36.2
S-Wedge,19,42.2,R4.6,26.2,5245,R9.3,5176,R848,4.5,31.4,37.1,R2.9,30.9,R4.9,R4.9,-5.7,35.4
S-Wedge,20,39.8,R1.6,8.2,2396,R29.5,2085,R1181,0.4,11.1,28.9,R0.4,8.3,L4.3,R3.1,-4.9,12.2
S-Wedge,21,24.2,R6.2,28.3,4739,R14.6,4585,R1197,1.6,11.0,14.1,R1.2,30.0,L0.3,R7.8,-5.5,37.7
S-Wedge,22,28.4,R2.0,28.5,4501,R9.9,4434,R773,2.2,15.2,18.8,R0.6,30.6,L3.7,R3.5,-5.4,38.0
S-Wedge,23,33.1,L0.5,21.2,4082,R8.8,4034,R623,1.8,17.3,24.3,R0.0,23.3,L4.1,R0.4,-6.1,29.0
S-Wedge,24,32.3,R0.4,23.2,3828,R11.5,3751,R766,2.0,17.2,23.7,R0.3,25.1,L1.2,R0.8,-5.5,31.3
S-Wedge,25,23.1,R5.8,32.4,3092,R11.1,3034,R597,1.8,10.7,13.5,R1.1,33.9,R6.0,R6.4,-1.1,41.7
S-Wedge,26,24.9,R3.2,32.8,2662,R11.5,2609,R531,2.1,12.4,15.9,R0.7,34.6,L0.1,R4.0,2.1,41.4
S-Wedge,27,21.9,R5.6,32.5,2615,R8.9,2583,R406,1.6,9.5,12.6,R0.9,33.3,R5.6,R6.1,2.1,41.0
S-Wedge,28,28.1,L1.6,25.1,3592,L0.7,3591,L46,1.7,13.8,18.7,L0.4,26.6,R0.3,L2.1,-5.1,33.6
S-Wedge,29,26.0,L0.5,24.2,3752,R5.7,3733,R372,1.4,11.5,16.0,L0.0,25.3,L0.6,L0.5,-6.0,32.6
S-Wedge,30,33.5,R0.4,28.9,4259,R1.3,4258,R98,3.2,21.0,25.6,R0.2,31.8,R0.7,R1.0,-1.6,37.5
S-Wedge,31,31.2,R2.2,30.3,4333,R7.1,4300,R532,3.0,18.8,22.6,R0.8,33.0,R2.1,R2.2,-3.4,39.8
S-Wedge,32,34.9,R3.8,32.4,4260,R8.9,4209,R657,4.2,23.7,27.5,R1.8,36.2,R4.1,R4.1,-0.5,41.8
S-Wedge,33,42.4,R0.8,30.3,5504,R3.8,5492,R366,5.8,33.8,37.5,R0.7,36.1,R0.2,R1.0,-3.0,39.9
S-Wedge,34,39.3,L1.7,25.8,5492,R8.4,5434,R798,3.8,27.3,32.7,L0.3,29.7,L1.1,L1.1,-6.3,34.9
S-Wedge,35,38.1,R4.6,29.1,5786,R11.6,5668,R1164,4.3,27.2,31.0,R2.6,33.5,L0.7,R6.0,-4.9,38.7
S-Wedge,36,22.2,R0.9,27.4,2973,R10.3,2925,R531,1.2,9.0,12.5,R0.2,28.0,L0.4,R1.2,-4.0,36.1
S-Wedge,37,25.9,R2.8,26.5,3488,R4.9,3475,R298,1.6,12.0,16.3,R0.6,27.7,R2.3,R2.9,-4.0,35.0
S-Wedge,38,19.8,R4.3,28.8,2358,L0.5,2358,L20,1.1,7.3,10.4,R0.5,29.3,R6.0,R3.8,1.7,36.4
S-Wedge,39,21.9,R3.3,28.2,2790,R8.6,2758,R415,1.3,8.9,12.4,R0.5,29.1,R3.1,R3.4,-3.9,37.1
,Average,37.4,R2.1,27.7,5032,R7.7,4974,R651,4.3,27.1,31.4,R1.4,31.9,R0.8,R2.5,-4.0,35.6
,Deviation,4.9,2.1,4.1,1706,5.2,1698,423.8,2.8,14.3,13.7,2.0,5.8,2.6,2.3,2.3,7.5
L-Wedge,0,48.9,R4.7,35.3,5944,R9.2,5868,R949,9.9,44.9,47.1,R4.7,43.4,L0.0,L0.0,0.0,0.0
L-Wedge,1,44.5,R4.1,34.2,5439,R6.1,5409,R574,7.7,37.7,40.5,R3.1,40.9,R4.7,R4.7,-3.5,45.0
L-Wedge,2,44.0,R7.8,35.0,5915,R13.2,5760,R1347,7.8,37.1,39.4,R5.9,41.7,R5.2,R8.5,-3.1,45.9
L-Wedge,3,47.2,R3.3,28.7,8002,R7.5,7934,R1040,6.9,41.1,43.6,R3.1,36.0,R0.3,R4.1,-6.1,38.7
L-Wedge,4,44.6,R5.1,27.9,6904,R13.6,6710,R1623,5.7,36.3,40.0,R4.2,34.0,R1.9,R5.9,-6.2,37.7
L-Wedge,5,48.9,R2.8,28.6,7683,R8.4,7601,R1116,7.4,43.6,46.5,R3.0,36.2,R3.6,R3.3,-6.2,38.6
L-Wedge,6,40.5,R4.7,33.1,5513,R11.1,5409,R1065,6.0,31.7,34.7,R3.2,38.5,R4.8,R5.0,-3.7,43.6
L-Wedge,7,50.1,R2.4,28.9,7396,R5.7,7359,R740,7.9,45.9,48.6,R2.6,37.0,R1.1,R2.7,-5.3,38.9
L-Wedge,8,49.3,R6.4,31.6,7234,R12.0,7077,R1498,8.7,45.1,47.4,R6.3,39.7,L0.0,L0.0,0.0,0.0
L-Wedge,9,45.9,R3.8,32.1,5939,R4.9,5917,R506,7.5,39.6,42.5,R2.9,39.1,R3.9,R4.0,-3.6,42.4
L-Wedge,10,44.2,R1.5,26.9,7205,R10.1,7093,R1265,5.3,35.3,39.2,R1.7,32.6,R0.1,R1.9,-6.3,36.4
L-Wedge,11,42.7,R1.2,27.0,7433,R8.0,7359,R1040,4.9,33.2,36.8,R1.3,32.5,R1.4,R1.7,-6.3,36.5
L-Wedge,12,41.3,R2.9,30.8,6264,R10.9,6151,R1181,5.6,32.3,35.4,R2.3,36.1,L0.0,L0.0,0.0,0.0
L-Wedge,13,42.2,R0.2,27.9,6796,R8.2,6726,R973,5.1,32.9,36.5,R0.7,33.4,L1.8,R0.7,-6.2,37.7
L-Wedge,14,44.7,R3.3,32.4,5697,R5.9,5667,R582,7.2,37.7,40.7,R2.6,39.0,L0.0,L0.0,0.0,0.0
L-Wedge,15,32.0,R1.2,27.4,4612,R4.1,4600,R331,2.7,18.9,23.3,R0.5,30.1,R1.5,R1.5,-6.1,36.7
L-Wedge,16,34.0,R2.3,28.9,4816,R3.2,4808,R264,3.3,21.8,25.9,R0.9,32.2,R1.8,R2.4,-4.0,38.2
L-Wedge,17,29.5,R3.3,27.3,5141,R9.1,5076,R815,2.2,16.1,19.8,R1.0,29.5,R1.4,R3.7,-5.2,36.4
L-Wedge,18,39.1,R0.7,17.5,3852,R2.0,3850,R132,1.8,20.9,31.5,R0.3,19.4,R4.9,R0.5,-6.2,24.3
